gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s),delta_x,delta_y,delta_z,delta_vx,delta_vy,delta_vz
-2.707024587182717398e+06,4.688707730593308806e+06,3.360437249414159451e+06,1.069786008848405245e+00,4.587342033553729742e-02,5.566791345144061348e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.707027975106200203e+06,4.688708691514980979e+06,3.360434588289771695e+06,9.892824955210679505e-01,2.296452508198787990e-01,3.085884281429537336e-03,-3.387923482805490494e+00,9.609216721728444099e-01,-2.661124387755990028e+00,-8.050351332733729492e-02,1.837718304843415085e-01,-5.258202917001107701e-02
-2.707025911633928306e+06,4.688719117190792225e+06,3.360434810303471982e+06,7.055601193058668175e-01,7.361448193955898445e-01,1.080813343314999606e-02,2.063472271896898746e+00,1.042567581124603748e+01,2.220137002877891064e-01,-2.837223762152011330e-01,5.064995685757109900e-01,7.722249151720458719e-03
-2.707026329762898386e+06,4.688715803376914933e+06,3.360427146447581705e+06,4.997577072595970060e-01,9.508084218956855960e-01,2.958811506659496729e-02,-4.181289700791239738e-01,-3.313813877291977406e+00,-7.663855890277773142e+00,-2.058024120462698114e-01,2.146636025000957515e-01,1.877998163344497123e-02
-2.707022631001206115e+06,4.688717491746056825e+06,3.360428699444750324e+06,1.964687984745045191e-01,9.403529473599875343e-01,-7.028336192779020830e-02,3.698761692270636559e+00,1.688369141891598701e+00,1.552997168619185686e+00,-3.032889087850925147e-01,-1.045547453569806162e-02,-9.987147699438517212e-02
-2.707013077238234691e+06,4.688719772176258266e+06,3.360422117888302077e+06,1.412577284920014109e-01,1.067712753117316726e+00,2.664831258305005654e-02,9.553762971423566341e+00,2.280430201441049576e+00,-6.581556448247283697e+00,-5.521106998250310816e-02,1.273598057573291920e-01,9.693167451084026831e-02
-2.707028706904947292e+06,4.688720019605963491e+06,3.360424949671830982e+06,1.051628290036781405e-01,1.013456912908173857e+00,-3.409407142406094271e-02,-1.562966671260073781e+01,2.474297052249312401e-01,2.831783528905361891e+00,-3.609489948832327044e-02,-5.425584020914286931e-02,-6.074238400711100272e-02
-2.707024301651858259e+06,4.688704985406664200e+06,3.360422275704002939e+06,-5.538259314020438362e-03,9.149279321463936743e-01,8.075576131257117263e-02,4.405253089033067226e+00,-1.503419929929077625e+01,-2.673967828042805195e+00,-1.107010883176985788e-01,-9.852898076178018272e-02,1.148498327366321153e-01
-2.707036759811213240e+06,4.688722806664409116e+06,3.360445580326712690e+06,3.958990444206380438e-02,1.024892206758054591e+00,6.062480727604255271e-02,-1.245815935498103499e+01,1.782125774491578341e+01,2.330462270975112915e+01,4.512816375608424274e-02,1.099642746116609171e-01,-2.013095403652861992e-02
-2.707036447526838630e+06,4.688720620563860051e+06,3.360433927416660357e+06,-8.562023219496939230e-02,1.042894768451703591e+00,4.703497993672259292e-02,3.122843746095895767e-01,-2.186100549064576626e+00,-1.165291005233302712e+01,-1.252101366370332036e-01,1.800256169364899961e-02,-1.358982733931995979e-02
-2.707026494676185772e+06,4.688720017738759518e+06,3.360433457579975948e+06,7.496677756180508689e-02,9.521417977648434228e-01,1.099460220022309004e-01,9.952850652858614922e+00,-6.028251005336642265e-01,-4.698366844095289707e-01,1.605870097567744792e-01,-9.075297068686016821e-02,6.291104206550830746e-02
-2.707025495531963650e+06,4.688728015678806230e+06,3.360429661218408961e+06,2.197092864426291453e-02,1.006732777367352449e+00,8.477257435957922735e-03,9.991442221216857433e-01,7.997940046712756157e+00,-3.796361566986888647e+00,-5.299584891754217236e-02,5.459097960250902659e-02,-1.014687645662729759e-01
-2.707020548882510047e+06,4.688725986871656030e+06,3.360431117500069551e+06,9.089530658727554280e-02,1.059793253670921143e+00,5.793697744578230058e-02,4.946649453602731228e+00,-2.028807150200009346e+00,1.456281660590320826e+00,6.892437794301262133e-02,5.306047630356869327e-02,4.945972000982437611e-02
-2.707030756125576328e+06,4.688733605876344256e+06,3.360428525167215150e+06,-1.724856584027203293e-02,9.581569881515060727e-01,-2.123088903031297367e-02,-1.020724306628108025e+01,7.619004688225686550e+00,-2.592332854401320219e+00,-1.081438724275475827e-01,-1.016362655194150699e-01,-7.916786647609527772e-02
-2.707030194558354560e+06,4.688724398278247565e+06,3.360440049120715819e+06,5.190319064600980303e-02,1.051881296458536230e+00,3.126783184689353040e-02,5.615672217682003975e-01,-9.207598096691071987e+00,1.152395350066944957e+01,6.915175648628182903e-02,9.372430830703015747e-02,5.249872087720650060e-02
-2.707026011554980185e+06,4.688722880746128969e+06,3.360435857467888389e+06,-9.110890757893146119e-02,1.004602904230493587e+00,-7.351663294886286171e-02,4.183003374375402927e+00,-1.517532118596136570e+00,-4.191652827430516481e+00,-1.430120982249412642e-01,-4.727839222804264274e-02,-1.047844647957563990e-01
-2.707018645896291826e+06,4.688721499763144180e+06,3.360433768165965565e+06,1.573050058415261798e-01,1.029410173078505908e+00,4.663860486338253231e-02,7.365658688358962536e+00,-1.380982984788715839e+00,-2.089301922824233770e+00,2.484139134204576549e-01,2.480726884801232046e-02,1.201552378122453940e-01
-2.707018757563066203e+06,4.688716470032620244e+06,3.360428665322581772e+06,6.466832412075834702e-01,7.045967682306596425e-01,1.262879205716150588e-01,-1.116667743772268295e-01,-5.029730523936450481e+00,-5.102843383792787790e+00,4.893782353660572904e-01,-3.248134048478462654e-01,7.964931570823252649e-02
-2.707023879096964374e+06,4.688727907438590191e+06,3.360432651950543746e+06,8.777559681289477389e-01,4.016114726264207735e-01,7.613972153979533218e-03,-5.121533898171037436e+00,1.143740596994757652e+01,3.986627961974591017e+00,2.310727269213642687e-01,-3.029852956042388690e-01,-1.186739484176355247e-01
-2.707014360890488606e+06,4.688729035558702424e+06,3.360425414547602646e+06,9.913724686777735107e-01,3.121049057352940359e-01,-6.263803909830399641e-02,9.518206475768238306e+00,1.128120112232863903e+00,-7.237402941100299358e+00,1.136165005488257718e-01,-8.950656689112673758e-02,-7.025201125228353050e-02
-2.707021157369026914e+06,4.688734046652520075e+06,3.360429137479846831e+06,9.614029688941879703e-01,1.485676415731792543e-01,-1.115101721641542504e-01,-6.796478538308292627e+00,5.011093817651271820e+00,3.722932244185358286e+00,-2.996949978358554034e-02,-1.635372641621147816e-01,-4.887213306585025396e-02
-2.707019495761088561e+06,4.688735892843624577e+06,3.360434785317694768e+06,1.004155400642722240e+00,2.959040084303578982e-02,6.416912727770988922e-02,1.661607938352972269e+00,1.846191104501485825e+00,5.647837847936898470e+00,4.275243174853426975e-02,-1.189772407301434576e-01,1.756792994418641396e-01
-2.707018952296100557e+06,4.688718881968877278e+06,3.360421010873777792e+06,9.824790969077764613e-01,5.498990127330582317e-02,6.317096999110924371e-02,5.434649880044162273e-01,-1.701087474729865789e+01,-1.377444391697645187e+01,-2.167630373494577878e-02,2.539950043027003335e-02,-9.981572866006455103e-04
-2.707019386953453999e+06,4.688723332187391818e+06,3.360431168351463974e+06,9.692232806607501416e-01,1.052405133500424958e-02,9.260989668529301388e-02,-4.346573534421622753e-01,4.450218514539301395e+00,1.015747768618166447e+01,-1.325581624702631967e-02,-4.446584993830157706e-02,2.943892669418377017e-02
-2.707022499890634790e+06,4.688729140631767921e+06,3.360417203518290538e+06,9.638899073158815334e-01,-4.895722381350164909e-02,-6.497480507236673419e-02,-3.112937180791050196e+00,5.808444376103579998e+00,-1.396483317343518138e+01,-5.333373344868608257e-03,-5.948127514850590214e-02,-1.575847017576597620e-01
-2.707015618457525037e+06,4.688726456967892125e+06,3.360434961283965502e+06,9.336352772539580069e-01,-1.196768613530364064e-04,-4.528047782280370664e-02,6.881433109752833843e+00,-2.683663875795900822e+00,1.775776567496359348e+01,-3.025463006192352644e-02,4.883754695214861247e-02,1.969432724956302755e-02
-2.707020877450559288e+06,4.688720011804384179e+06,3.360422162454038858e+06,1.054284209016543628e+00,2.633993689839313895e-02,3.036768089953533270e-02,-5.258993034251034260e+00,-6.445163507945835590e+00,-1.279882992664352059e+01,1.206489317625856206e-01,2.645961375974617558e-02,7.564815872233904281e-02
-2.707019259776061866e+06,4.688732793409314007e+06,3.360435863600093406e+06,9.026872546417258336e-01,3.072224915758435537e-02,7.142140168723469518e-02,1.617674497421830893e+00,1.278160492982715368e+01,1.370114605454728007e+01,-1.515969543748177939e-01,4.382312259191216419e-03,4.105372078769936595e-02
-2.707015226806676947e+06,4.688724213954953477e+06,3.360426554518267978e+06,1.004976945739950223e+00,8.163604831601829759e-02,1.306498659023349468e-02,4.032969384919852018e+00,-8.579454360529780388e+00,-9.309081825427711010e+00,1.022896910982243890e-01,5.091379915843394222e-02,-5.835641509700120050e-02
-2.707013757259660400e+06,4.688733266114198603e+06,3.360436812250755262e+06,9.589966145540588238e-01,-2.476741627399954224e-03,1.971211807103102204e-02,1.469547016546130180e+00,9.052159245125949383e+00,1.025773248728364706e+01,-4.598033118589139878e-02,-8.411278994341825355e-02,6.647131480797527359e-03
-2.707007186205657665e+06,4.688728121641957201e+06,3.360436860992065165e+06,9.622052280806181468e-01,-2.243519884878038273e-01,-7.280096793789130570e-03,6.571054002735763788e+00,-5.144472241401672363e+00,4.874130990356206894e-02,3.208613526559322970e-03,-2.218752468604038852e-01,-2.699221486482015347e-02
-2.707011351683560293e+06,4.688731248015052639e+06,3.360430520783910528e+06,7.003944563933095502e-01,-6.496159732966895195e-01,-3.276758968023429225e-02,-4.165477902628481388e+00,3.126373095437884331e+00,-6.340208154637366533e+00,-2.618107716873085966e-01,-4.252639848088857200e-01,-2.548749288644516081e-02
-2.707003663196681999e+06,4.688727216425498016e+06,3.360429025069556665e+06,4.963142623038483969e-01,-8.542352455373058984e-01,3.519608789465881321e-02,7.688486878294497728e+00,-4.031589554622769356e+00,-1.495714353863149881e+00,-2.040801940894611533e-01,-2.046192722406163789e-01,6.796367757489310546e-02
-2.707008515572872944e+06,4.688725051081090234e+06,3.360423976577343885e+06,3.687892725781960479e-01,-9.073562781772536168e-01,5.173894493540399930e-02,-4.852376190945506096e+00,-2.165344407781958580e+00,-5.048492212779819965e+00,-1.275249897256523490e-01,-5.312103263994771840e-02,1.654285704074518609e-02
-2.707009721907305997e+06,4.688724267762277275e+06,3.360440135043582413e+06,2.532200845542637579e-01,-9.207428272727035123e-01,-3.673923095077556711e-02,-1.206334433052688837e+00,-7.833188129588961601e-01,1.615846623852849007e+01,-1.155691880239322900e-01,-1.338654909544989557e-02,-8.847817588617956641e-02
-2.707011046279409900e+06,4.688730325517130084e+06,3.360425679860305972e+06,1.117090077909949769e-01,-1.001242893124160149e+00,-4.594332756162496784e-02,-1.324372103903442621e+00,6.057754852809011936e+00,-1.445518327644094825e+01,-1.415110767632687949e-01,-8.050006585145663696e-02,-9.204096610849400728e-03
-2.707016608408723492e+06,4.688716323246253654e+06,3.360423625675676856e+06,2.073369001822915059e-01,-1.014057616730863698e+00,7.173784443801864939e-03,-5.562129313591867685e+00,-1.400227087642997503e+01,-2.054184629116207361e+00,9.562789239129652896e-02,-1.281472360670354860e-02,5.311711200542683364e-02
-2.706999371745307464e+06,4.688718942569443956e+06,3.360434952132993378e+06,-2.132079090873652966e-02,-9.803652892471712565e-01,-3.530720964862629069e-02,1.723666341602802277e+01,2.619323190301656723e+00,1.132645731652155519e+01,-2.286576910910280425e-01,3.369232748369244135e-02,-4.248099409242815649e-02
-2.707006735861381982e+06,4.688719047748587094e+06,3.360425018806087319e+06,6.655061033566746914e-03,-1.037573693691831389e+00,7.404506171971943218e-02,-7.364116074517369270e+00,1.051791431382298470e-01,-9.933326906058937311e+00,2.797585194230327657e-02,-5.720840444466013253e-02,1.093522713683457159e-01
-2.707017281684492715e+06,4.688718919410657138e+06,3.360424107298381627e+06,3.698851311317022383e-02,-9.978431041663130552e-01,-1.961519706132762095e-02,-1.054582311073318124e+01,-1.283379299566149712e-01,-9.115077056922018528e-01,3.033345207960347692e-02,3.973058952551833389e-02,-9.366025878104705660e-02
-2.707016048970887903e+06,4.688724878723724745e+06,3.360434101535674650e+06,6.727073807205903762e-03,-9.960364528044236554e-01,8.905489824355020123e-02,1.232713604811578989e+00,5.959313067607581615e+00,9.994237293023616076e+00,-3.026143930596432094e-02,1.806651361889399787e-03,1.086700953048778256e-01
-2.707013830729141366e+06,4.688725429715882055e+06,3.360432083762710914e+06,-4.019378226048952313e-02,-9.608381462678519114e-01,-6.427787747772995344e-03,2.218241746537387371e+00,5.509921573102474213e-01,-2.017772963736206293e+00,-4.692085606769542949e-02,3.519830653657174402e-02,-9.548268599132320178e-02
-2.707004809687433299e+06,4.688729012299615890e+06,3.360428142534520011e+06,4.687647224429219300e-02,-1.030217610923666260e+00,-1.343040819737727036e-02,9.021041708067059517e+00,3.582583733834326267e+00,-3.941228190902620554e+00,8.707025450478171613e-02,-6.937946465581434907e-02,-7.002620449604275016e-03
